source,formula,good_cond,conductivity,temperature,sub_element,aliovalent_sub,isovalent_sub,oxygen_sub,anion_sub,activation_energy,li_subs_ionradii,ge_subs_ionradii,p_subs_ionradii,s_subs_ionradii
10.1038/nmat3066,Li10GeP2S12,1,0.012,27,non,0,0,0,0,24,92,53,17,184
10.1038/nmat3066,Li10GeP2S12,0,0.001,-30,non,0,0,0,0,24,92,53,17,184
10.1038/nmat3066,Li10GeP2S12,0,0.0004,-45,non,0,0,0,0,24,92,53,17,184
10.1039/c2ee23355j,Li10GeP2S12,1,0.013,27,non,0,0,0,0,24.04,92,53,17,184
10.1039/c2ee23355j,Li10SiP2S12,1,0.023,27,Si,0,1,0,0,22.12,92,40,17,184
10.1039/c2ee23355j,Li10SnP2S12,0,0.006,27,Sn,0,1,0,0,25.96,92,69,17,184
10.1039/c2ee23355j,Li9P3S12,0,0.004,27,P,1,0,0,0,33.65,92,17,17,184
10.1039/c2ee23355j,Li11AlP2S12,1,0.033,27,Al,1,0,0,0,23.08,92,53.5,17,184
10.1039/c2ee23355j,Li10GeP2O12,0,0.00003,27,O,0,0,1,0,39.42,92,53,17,140
10.1039/c2ee23355j,Li10GeP2Se12,1,0.024,27,Se,0,0,0,1,22.12,92,53,17,198
10.1039/c6ee02094a,LiZnPS4,0,0,27,Zn,1,0,0,0,102.88,92,58,17,184
10.1039/c6ee02094a,Li1.25Zn0.875PS4,0,0.00344,27,Zn,1,0,0,0,24.23,92,58,17,184
10.1039/c6ee02094a,Li1.5Zn0.75PS4,1,0.0277,27,Zn,1,0,0,0,17.4,92,58,17,184
10.1039/c6ee02094a,Li2Zn0.5PS4,1,0.0538,27,Zn,1,0,0,0,15.87,92,58,17,184
10.1039/c6ee02094a,Li2.5Zn0.25PS4,1,0.114,27,Zn,1,0,0,0,13.46,92,58,17,184
10.1016/j.jpowsour.2016.05.100,Li10GeP2S12,1,0.012,27,O,0,0,1,0,20,92,53,17,140
10.1016/j.jpowsour.2016.05.100,Li10GeP2S11.7O0.3,0,0.0103,27,O,0,0,1,0,20,92,53,17,140
10.1016/j.jpowsour.2016.05.100,Li10GeP2S11.4O0.6,0,0.00843,27,O,0,0,1,0,21,92,53,17,140
10.1016/j.jpowsour.2016.05.100,Li10GeP2O12,0,0.00003,27,O,0,0,1,0,35,92,53,17,140
10.1016/j.matlet.2020.127508,Li9.54Si1.74P1.44S11.7Cl0.3,0,0.0015,27,"Si,Cl",0,1,0,1,25,92,40,17,181
10.3390/nano10081606,Li3.25SI0.25P0.75S4,1,0.0122,27,Si,0,1,0,0,19.23,92,40,17,184
10.3390/nano10081606,Li10GeP2S12,0,0.009,27,non,0,0,0,0,19.23,92,53,17,184
10.3390/nano10081606,Li10GeP2S12,0,0.01,27,non,0,0,0,0,28.85,92,53,17,184
10.3390/nano10081606,Li10SiP2S12,0,0.002,27,Si,0,1,0,0,28.85,92,40,17,184
10.3390/nano10081606,Li10SiP2S11.3O0.7,0,0.0031,27,"Si,O",0,1,1,0,30.77,92,40,17,140
10.3390/nano10081606,Li10SnP2S12,0,0.006,27,Sn,0,1,0,0,29.81,92,69,17,184
10.3390/nano10081606,Li9.42Si1.74P1.44S9.96O2.04,0,0.00011,27,"Si,O",0,1,1,0,22.12,92,40,17,140
10.3390/nano10081606,Li9.54Si1.74P1.44S11.7Cl0.3,1,0.0253,27,"Si,Cl",0,1,0,1,22.12,92,40,17,181
10.3390/nano10081606,Li11AlP2S12,0,0.000802,27,Al,1,0,0,0,24.04,92,53.5,17,184
10.1002/aenm.202002153,Li10SnP2S12,0,0.0056,27,Sn,0,1,0,0,30.77,92,69,17,184
10.1002/aenm.202002153,Li10SnP2S12,0,0.0038,27,Sn,0,1,0,0,28.85,92,69,17,184
10.1002/aenm.202002153,Li10GeP2S12,0,0.0076,27,Ge,0,0,0,0,25.96,92,53,17,184
10.1002/aenm.202002153,Li9.81Sn0.81P2.19S12,0,0.0055,27,Sn,0,1,0,0,27.88,92,69,17,184
10.1002/aenm.202002153,Li10.35Si1.35P1.65S12,0,0.0067,27,Si,0,1,0,0,28.85,92,40,17,184
10.1002/aenm.202002153,Li9P3S9O3,0,0.000043,27,"P,O",1,0,1,0,33.65,92,17,17,184
10.1002/aenm.202002153,Li9.6P3S12,0,0.0012,27,P,1,0,1,0,34.62,92,17,17,184
10.1002/aenm.202002153,Li10GeP2S11.7O0.3,1,0.012,27,O,0,0,1,0,17.31,92,53,17,140
10.1002/aenm.202002153,Li9.54Si1.74P1.44S11.7Cl0.3,1,0.025,27,"Si,Cl",0,1,0,1,25,92,40,17,181
10.1021/acs.chemmater.9b04764,Li10GeP1.4Sb0.6S12,0,0.006,27,Sb,1,0,0,0,29.81,92,53,76,184
10.1021/acs.chemmater.9b04764,Li10GeP1.5Sb0.5S12,1,0.012,27,Sb,1,0,0,0,29.33,92,53,76,184
10.1021/acs.chemmater.9b04764,Li10GeP1.6Sb0.4S12,0,0.0115,27,Sb,1,0,0,0,27.6,92,53,76,184
